iter	Passed	Remaining
0	0	446
1	0	410
2	2	671
3	2	597
4	2	560
5	3	612
6	4	579
7	4	554
8	4	532
9	5	515
10	5	503
11	5	491
12	6	479
13	6	470
14	7	461
15	7	454
16	7	447
17	8	439
18	8	433
19	8	428
20	9	422
21	9	418
22	9	414
23	10	411
24	10	409
25	10	407
26	11	404
27	11	402
28	11	399
29	12	396
30	12	394
31	12	393
32	13	391
33	13	390
34	14	388
35	14	386
36	14	386
37	15	385
38	15	384
39	15	383
40	16	381
41	16	381
42	17	380
43	17	388
44	18	387
45	18	386
46	18	384
47	19	391
48	20	392
49	20	391
50	21	391
51	21	390
52	21	392
53	22	392
54	22	393
55	23	393
56	23	392
57	24	391
58	24	393
59	25	392
60	25	390
61	25	389
62	26	388
63	26	387
64	26	386
65	27	386
66	27	384
67	27	383
68	28	382
69	28	381
70	29	380
71	29	379
72	29	378
73	30	378
74	30	376
75	30	375
76	31	374
77	31	373
78	31	372
79	32	372
80	32	371
81	33	370
82	33	367
83	33	366
84	33	365
85	34	364
86	34	364
87	35	363
88	35	362
89	35	361
90	36	360
91	36	359
92	36	358
93	37	357
94	37	357
95	37	356
96	38	355
97	38	355
98	39	355
99	39	354
100	39	354
101	40	354
102	40	353
103	41	353
104	41	354
105	41	353
106	42	353
107	42	352
108	43	351
109	43	351
110	43	350
111	44	349
112	44	348
113	44	348
114	45	347
115	45	347
116	45	346
117	46	345
118	46	345
119	46	344
120	47	344
121	47	343
122	48	342
123	48	342
124	48	341
125	49	341
126	49	339
127	49	339
128	50	338
129	50	337
130	50	336
131	51	336
132	51	337
133	52	337
134	52	336
135	52	335
136	53	336
137	53	336
138	54	337
139	54	337
140	55	337
141	55	335
142	55	335
143	56	334
144	56	334
145	57	333
146	57	332
147	57	332
148	58	331
149	58	331
150	58	330
151	59	329
152	59	329
153	59	328
154	60	328
155	60	328
156	60	327
157	61	327
158	61	326
159	62	326
160	62	324
161	62	324
162	63	323
163	63	323
164	63	322
165	64	322
166	64	321
167	64	321
168	65	320
169	65	320
170	66	320
171	66	319
172	66	319
173	67	318
174	67	318
175	67	317
176	68	316
177	68	316
178	68	315
179	69	315
180	69	315
181	70	314
182	70	314
183	70	313
184	71	313
185	71	312
186	71	312
187	72	311
188	72	311
189	73	311
190	73	311
191	73	310
192	74	310
193	74	309
194	75	309
195	75	309
196	75	309
197	76	308
198	76	308
199	76	307
200	77	307
201	77	306
202	78	306
203	78	305
204	78	305
205	79	304
206	79	304
207	79	303
208	80	303
209	80	302
210	80	302
211	81	301
212	81	301
213	81	300
214	82	300
215	82	299
216	82	299
217	83	298
218	83	298
219	83	297
220	84	297
221	84	296
222	85	296
223	85	295
224	85	295
225	86	294
226	86	294
227	86	293
228	87	293
229	87	292
230	87	292
231	88	291
232	88	291
233	88	291
234	89	290
235	89	290
236	90	290
237	90	290
238	90	289
239	91	289
240	91	288
241	92	288
242	92	288
243	92	287
244	93	287
245	93	286
246	93	286
247	94	285
248	94	285
249	94	284
250	95	284
251	95	283
252	95	283
253	96	282
254	96	282
255	96	281
256	97	281
257	97	280
258	98	280
259	98	280
260	98	279
261	99	279
262	99	278
263	99	278
264	100	277
265	100	277
266	100	277
267	101	276
268	101	276
269	102	275
270	102	275
271	102	274
272	103	274
273	103	274
274	103	273
275	104	273
276	104	272
277	104	272
278	105	271
279	105	271
280	105	271
281	106	270
282	106	270
283	106	269
284	107	269
285	107	269
286	108	268
287	108	268
288	108	267
289	109	267
290	109	266
291	109	266
292	110	266
293	110	265
294	111	265
295	111	265
296	111	264
297	112	264
298	112	263
299	112	263
300	113	263
301	113	262
302	114	262
303	114	261
304	114	261
305	115	261
306	115	260
307	115	260
308	116	259
309	116	259
310	116	258
311	117	258
312	117	258
313	117	257
314	118	257
315	118	256
316	119	256
317	119	256
318	119	255
319	120	255
320	120	254
321	120	254
322	121	253
323	121	253
324	121	253
325	122	252
326	122	252
327	122	251
328	123	251
329	123	250
330	123	250
331	124	250
332	124	249
333	125	249
334	125	249
335	125	248
336	126	248
337	126	247
338	126	247
339	127	247
340	127	246
341	128	246
342	128	245
343	128	245
344	129	245
345	129	244
346	129	244
347	130	245
348	131	244
349	131	244
350	131	243
351	132	243
352	132	243
353	133	242
354	133	242
355	133	242
356	134	241
357	134	241
358	134	240
359	135	240
360	135	240
361	135	239
362	136	239
363	136	238
364	137	238
365	137	238
366	137	237
367	138	237
368	138	237
369	139	236
370	139	236
371	139	235
372	140	235
373	140	235
374	141	235
375	141	234
376	141	234
377	142	233
378	143	234
379	143	234
380	143	233
381	144	233
382	144	233
383	145	232
384	145	232
385	145	231
386	146	231
387	146	231
388	146	230
389	147	230
390	147	229
391	147	229
392	148	228
393	148	228
394	148	228
395	149	227
396	149	227
397	150	227
398	150	226
399	150	226
400	151	225
401	151	225
402	151	224
403	152	224
404	152	224
405	152	223
406	153	223
407	153	222
408	153	222
409	154	221
410	154	221
411	155	221
412	155	220
413	155	220
414	156	220
415	156	219
416	156	219
417	157	219
418	157	218
419	158	218
420	158	217
421	158	217
422	159	217
423	159	216
424	159	216
425	160	215
426	160	215
427	160	215
428	161	214
429	161	214
430	161	213
431	162	213
432	162	212
433	162	212
434	163	212
435	163	211
436	163	211
437	164	210
438	164	210
439	164	209
440	165	209
441	165	209
442	166	208
443	166	208
444	166	208
445	167	207
446	167	207
447	167	206
448	168	206
449	168	206
450	169	205
451	169	205
452	169	205
453	170	204
454	170	204
455	170	203
456	171	203
457	171	203
458	171	202
459	172	202
460	172	201
461	172	201
462	173	200
463	173	200
464	173	200
465	174	199
466	174	199
467	174	198
468	175	198
469	175	198
470	175	197
471	176	197
472	176	196
473	176	196
474	177	196
475	178	196
476	178	195
477	178	195
478	179	194
479	179	194
480	179	194
481	180	193
482	180	193
483	180	192
484	181	192
485	181	192
486	182	191
487	182	191
488	182	191
489	183	190
490	183	190
491	183	189
492	184	189
493	184	189
494	185	188
495	185	188
496	185	187
497	186	187
498	186	187
499	186	186
500	187	186
501	187	185
502	187	185
503	188	185
504	188	184
505	188	184
506	189	183
507	189	183
508	189	183
509	190	182
510	190	182
511	190	181
512	191	181
513	191	181
514	192	180
515	192	180
516	192	180
517	193	179
518	193	179
519	193	179
520	194	178
521	194	178
522	195	177
523	195	177
524	195	177
525	196	176
526	196	176
527	196	175
528	197	175
529	197	175
530	198	174
531	198	174
532	198	174
533	199	173
534	199	173
535	199	173
536	200	172
537	200	172
538	200	171
539	201	171
540	201	171
541	201	170
542	202	170
543	202	169
544	203	169
545	203	169
546	203	168
547	204	168
548	204	167
549	204	167
550	205	167
551	205	166
552	205	166
553	206	166
554	206	165
555	207	165
556	207	164
557	207	164
558	208	164
559	208	163
560	208	163
561	209	163
562	209	162
563	209	162
564	210	161
565	210	161
566	210	161
567	211	160
568	211	160
569	212	159
570	212	159
571	212	159
572	213	158
573	213	158
574	213	157
575	214	157
576	214	157
577	214	156
578	215	156
579	215	156
580	215	155
581	216	155
582	216	154
583	217	154
584	217	154
585	217	153
586	218	153
587	218	153
588	218	152
589	219	152
590	219	151
591	219	151
592	220	151
593	220	150
594	220	150
595	221	150
596	221	149
597	222	149
598	222	148
599	222	148
600	223	148
601	223	147
602	223	147
603	224	147
604	224	146
605	224	146
606	225	145
607	225	145
608	225	145
609	226	144
610	226	144
611	226	143
612	227	143
613	227	143
614	228	142
615	231	144
616	231	143
617	231	143
618	232	142
619	232	142
620	232	142
621	233	141
622	233	141
623	233	140
624	234	140
625	234	140
626	234	139
627	235	139
628	235	138
629	235	138
630	236	138
631	236	137
632	236	137
633	237	137
634	237	136
635	238	136
636	238	135
637	239	135
638	239	135
639	239	134
640	240	134
641	240	134
642	240	133
643	241	133
644	241	133
645	242	132
646	242	132
647	243	132
648	243	131
649	243	131
650	244	130
651	244	130
652	244	130
653	245	129
654	245	129
655	246	129
656	246	128
657	246	128
658	247	127
659	247	127
660	247	127
661	248	126
662	248	126
663	248	125
664	249	125
665	249	125
666	249	124
667	250	124
668	250	124
669	251	123
670	251	123
671	251	122
672	252	122
673	252	122
674	252	121
675	253	121
676	253	120
677	254	120
678	254	120
679	254	119
680	255	119
681	255	119
682	255	118
683	256	118
684	256	117
685	256	117
686	257	117
687	257	116
688	257	116
689	258	116
690	258	115
691	259	115
692	259	114
693	259	114
694	260	114
695	260	113
696	260	113
697	261	113
698	261	112
699	261	112
700	262	111
701	262	111
702	263	111
703	263	110
704	263	110
705	264	109
706	264	109
707	264	109
708	265	108
709	265	108
710	265	108
711	266	107
712	266	107
713	266	106
714	267	106
715	267	106
716	268	105
717	268	105
718	268	105
719	269	104
720	269	104
721	269	103
722	270	103
723	270	103
724	270	102
725	271	102
726	271	102
727	272	101
728	272	101
729	273	101
730	273	100
731	273	100
732	274	99
733	274	99
734	275	99
735	275	98
736	275	98
737	276	98
738	276	97
739	276	97
740	277	96
741	277	96
742	277	96
743	278	95
744	278	95
745	278	94
746	279	94
747	279	94
748	279	93
749	280	93
750	280	93
751	280	92
752	281	92
753	281	91
754	282	91
755	282	91
756	282	90
757	283	90
758	283	90
759	283	89
760	284	89
761	284	88
762	285	88
763	285	88
764	285	87
765	286	87
766	286	87
767	286	86
768	287	86
769	287	85
770	288	85
771	288	85
772	288	84
773	289	84
774	289	84
775	290	83
776	290	83
777	290	82
778	291	82
779	291	82
780	291	81
781	292	81
782	292	81
783	292	80
784	293	80
785	293	79
786	293	79
787	294	79
788	294	78
789	294	78
790	295	78
791	295	77
792	295	77
793	296	76
794	296	76
795	297	76
796	297	75
797	297	75
798	298	75
799	298	74
800	299	74
801	300	74
802	300	73
803	300	73
804	301	72
805	301	72
806	301	72
807	302	71
808	302	71
809	303	71
810	303	70
811	303	70
812	304	69
813	304	69
814	304	69
815	305	68
816	305	68
817	306	68
818	306	67
819	306	67
820	307	66
821	307	66
822	308	66
823	308	65
824	308	65
825	309	65
826	309	64
827	309	64
828	310	63
829	310	63
830	310	63
831	311	62
832	311	62
833	311	62
834	312	61
835	312	61
836	312	60
837	313	60
838	313	60
839	314	59
840	314	59
841	314	59
842	315	58
843	315	58
844	315	57
845	316	57
846	316	57
847	317	56
848	317	56
849	317	56
850	318	55
851	318	55
852	318	54
853	319	54
854	319	54
855	320	53
856	320	53
857	320	53
858	321	52
859	321	52
860	321	51
861	322	51
862	322	51
863	322	50
864	323	50
865	323	50
866	323	49
867	324	49
868	324	48
869	324	48
870	325	48
871	325	47
872	326	47
873	326	47
874	326	46
875	327	46
876	327	45
877	327	45
878	328	45
879	328	44
880	328	44
881	329	44
882	329	43
883	329	43
884	330	42
885	330	42
886	331	42
887	331	41
888	331	41
889	332	41
890	332	40
891	332	40
892	333	39
893	333	39
894	333	39
895	334	38
896	334	38
897	334	38
898	336	37
899	337	37
900	337	37
901	338	36
902	338	36
903	338	35
904	339	35
905	339	35
906	339	34
907	340	34
908	340	34
909	340	33
910	341	33
911	341	32
912	342	32
913	342	32
914	342	31
915	343	31
916	343	31
917	343	30
918	344	30
919	344	29
920	344	29
921	345	29
922	345	28
923	345	28
924	346	28
925	346	27
926	346	27
927	347	26
928	347	26
929	348	26
930	348	25
931	348	25
932	349	25
933	349	24
934	349	24
935	350	23
936	350	23
937	350	23
938	351	22
939	351	22
940	351	22
941	352	21
942	352	21
943	352	20
944	353	20
945	353	20
946	354	19
947	354	19
948	354	19
949	355	18
950	355	18
951	355	17
952	356	17
953	356	17
954	356	16
955	357	16
956	357	16
957	357	15
958	358	15
959	358	14
960	358	14
961	359	14
962	359	13
963	360	13
964	360	13
965	360	12
966	361	12
967	361	11
968	361	11
969	362	11
970	362	10
971	362	10
972	363	10
973	363	9
974	363	9
975	364	8
976	364	8
977	364	8
978	365	7
979	365	7
980	366	7
981	366	6
982	366	6
983	367	5
984	367	5
985	367	5
986	368	4
987	368	4
988	369	4
989	369	3
990	369	3
991	370	2
992	370	2
993	370	2
994	371	1
995	371	1
996	371	1
997	372	0
998	372	0
999	373	0
